FILE    	 VALUE 	 TIME           	 MOD_VALUE 	 MOD_TIME
10x100-0.25_1	21996	 0.07899975776672363	 21898	 0.042000532150268555
10x100-0.25_10	21760	 0.08100080490112305	 21760	 0.010999917984008789
10x100-0.25_2	21802	 0.07799720764160156	 21694	 0.016001462936401367
10x100-0.25_3	20695	 0.0709981918334961	 20265	 0.013000249862670898
10x100-0.25_4	21062	 0.06799983978271484	 21062	 0.023001670837402344
10x100-0.25_5	21196	 0.07200193405151367	 21122	 0.031003952026367188
10x100-0.25_6	21757	 0.07300019264221191	 21757	 0.010999917984008789
10x100-0.25_7	21360	 0.07099366188049316	 20754	 0.011000394821166992
10x100-0.25_8	21404	 0.06799817085266113	 21273	 0.010000944137573242
10x100-0.25_9	21746	 0.07199907302856445	 20698	 0.006000041961669922
10x100-0.50_1	39932	 0.13200163841247559	 39932	 0.13099932670593262
10x100-0.50_10	40464	 0.13899946212768555	 40387	 0.0279996395111084
10x100-0.50_2	41305	 0.13300776481628418	 41305	 0.1089944839477539
10x100-0.50_3	41657	 0.14700555801391602	 41649	 0.03600001335144043
10x100-0.50_4	44872	 0.15699386596679688	 44872	 0.15100693702697754
10x100-0.50_5	41260	 0.13599920272827148	 40878	 0.015000104904174805
10x100-0.50_6	41981	 0.1389932632446289	 41981	 0.009000301361083984
10x100-0.50_7	42624	 0.1400001049041748	 42624	 0.1420001983642578
10x100-0.50_8	41982	 0.1419997215270996	 41602	 0.007003307342529297
10x100-0.50_9	41675	 0.14900612831115723	 41675	 0.017997264862060547
10x100-0.75_1	56894	 0.21299958229064941	 56894	 0.19000029563903809
10x100-0.75_10	60401	 0.21500015258789062	 60401	 0.2189950942993164
10x100-0.75_2	58005	 0.22200489044189453	 58005	 0.22099971771240234
